data_aplicacao,selic_meta_aa,cdi_aa,ipca_12m_aa,ipca_mes_referencia
2025-06-02,14.75,14.65,5.53,2025-04
2025-07-01,15.00,14.90,5.32,2025-05
2025-08-01,15.00,14.90,5.35,2025-06
2025-09-01,15.00,14.90,5.23,2025-07
2025-10-01,15.00,14.90,5.13,2025-08
2025-11-03,15.00,14.90,5.17,2025-09
2025-12-01,15.00,14.90,4.68,2025-10
2026-01-02,15.00,14.90,4.46,2025-11
2026-02-02,15.00,14.90,4.26,2025-12
2026-03-02,15.00,14.90,4.44,2026-01
2026-04-01,14.75,14.65,3.81,2026-02
2026-05-04,14.50,14.40,4.14,2026-03
